Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trello2,,,,2022-02-15 18:02:05,2022-02-15 18:02:53,48.736s,FAILED
,,,,,,,
Test Cases/Trello Api Automation/TC08 Add a Sticker - Update a Sticker - Delete a Sticker,,,,2022-02-15 18:02:05,2022-02-15 18:02:13,7.845s,PASSED
"boardNameVar = ""Add Sticker to a Card""",,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.001s,PASSED
"nameofListVar = ""List of Sticker""",,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
"cardNameVar = ""taco sticker""",,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
"imageNameVar = ""taco-confused""",,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
topVar = 10,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
leftVar = 20,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
zIndexVar = 3,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
topUpdateVar = 70,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
leftUpdateVar = 40,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
zIndexUpdateVar = 3,,,,2022-02-15 18:02:05,2022-02-15 18:02:05,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:05,2022-02-15 18:02:08,2.478s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:08,2022-02-15 18:02:08,0.029s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:08,2022-02-15 18:02:08,0.048s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:08,2022-02-15 18:02:08,0.016s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:08,2022-02-15 18:02:09,0.855s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:09,2022-02-15 18:02:09,0.000s,PASSED
"listIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:09,2022-02-15 18:02:09,0.016s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:09,2022-02-15 18:02:09,0.009s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Create card"", [""urlCard"":url_Card, ""listId"":listIdVar, ""cardName"":cardNameVar]))",,,,2022-02-15 18:02:09,2022-02-15 18:02:10,0.910s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:10,2022-02-15 18:02:10,0.000s,PASSED
"idCardVar = getElementPropertyValue(response3, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:10,2022-02-15 18:02:10,0.026s,PASSED
"containsString(response3, cardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:10,2022-02-15 18:02:10,0.003s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Sticker/Add a Sticker on Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""imageName"":imageNameVar, ""top"":topVar, ""left"":leftVar, ""zIndex"":zIndexVar]))",,,,2022-02-15 18:02:10,2022-02-15 18:02:11,0.979s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:11,2022-02-15 18:02:11,0.000s,PASSED
"idStickerVar = getElementPropertyValue(response4, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:11,2022-02-15 18:02:11,0.016s,PASSED
"containsString(response4, imageNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:11,2022-02-15 18:02:11,0.000s,PASSED
"response5 = sendRequest(findTestObject(""Trello/Sticker/Update a Sticker on Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idSticker"":idStickerVar, ""topUpdate"":topUpdateVar, ""leftUpdate"":leftUpdateVar, ""zIndexUpdate"":zIndexUpdateVar]))",,,,2022-02-15 18:02:11,2022-02-15 18:02:12,1.257s,PASSED
"verifyResponseStatusCode(response5, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:12,2022-02-15 18:02:12,0.000s,PASSED
"response6 = sendRequest(findTestObject(""Trello/Sticker/Delete a Sticker on Card"", [""urlCard"":url_Card, ""idCard"":idCardVar, ""idSticker"":idStickerVar]))",,,,2022-02-15 18:02:12,2022-02-15 18:02:13,0.838s,PASSED
"verifyResponseStatusCode(response6, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC09 Add an Attachment - Get the data from Attachment - Delete an Attachment,,,,2022-02-15 18:02:13,2022-02-15 18:02:18,5.223s,PASSED
"deleteAttachmentRespMsg = ""{""limits"":{}}""",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.001s,PASSED
"urlAttachmentVar = ""https://www.youtube.com/""",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.001s,PASSED
"boardNameVar = ""Add an attach to card""",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.000s,PASSED
"nameofListVar = ""My List""",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.002s,PASSED
"cardNameVar = ""My card""",,,,2022-02-15 18:02:13,2022-02-15 18:02:13,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:13,2022-02-15 18:02:14,0.865s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.002s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.014s,PASSED
board_response = response1.getResponseText(),,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.000s,PASSED
"println(""
	"" + board_response + ""
	"")",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.015s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:14,2022-02-15 18:02:14,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-15 18:02:14,2022-02-15 18:02:15,0.796s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:15,2022-02-15 18:02:15,0.000s,PASSED
"containsString(response2, nameofListVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:15,2022-02-15 18:02:15,0.000s,PASSED
