Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trello,,,,2022-02-09 19:22:38,2022-02-09 19:23:09,31.532s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC08 Add a Sticker - Update a Sticker - Delete a Sticker,,,,2022-02-09 19:22:38,2022-02-09 19:22:46,7.812s,PASSED
"boardNameVar = ""Add Sticker to a Card""",,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.001s,PASSED
"nameofListVar = ""List of Sticker""",,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.002s,PASSED
"cardNameVar = ""taco sticker""",,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
"imageNameVar = ""taco-confused""",,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
topVar = 10,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
leftVar = 20,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
zIndexVar = 3,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
topUpdateVar = 70,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
leftUpdateVar = 40,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
zIndexUpdateVar = 3,,,,2022-02-09 19:22:39,2022-02-09 19:22:39,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-09 19:22:39,2022-02-09 19:22:41,2.471s,PASSED
"verifyResponseStatusCode(response1, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:41,2022-02-09 19:22:41,0.005s,PASSED
"idBoardVar = getElementPropertyValue(response1, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:41,2022-02-09 19:22:41,0.074s,PASSED
"containsString(response1, boardNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:41,2022-02-09 19:22:41,0.000s,PASSED
"response2 = sendRequest(findTestObject(""Trello/List/Create a new list"", [""urlList"":url_List, ""nameofList"":nameofListVar, ""idBoard"":idBoardVar]))",,,,2022-02-09 19:22:41,2022-02-09 19:22:42,0.791s,PASSED
"verifyResponseStatusCode(response2, 200, CONTINUE_ON_FAILURE)",,,,2022-02-09 19:22:42,2022-02-09 19:22:42,0.000s,PASSED
